# points on UUBv3 image in pixels
# label, centerx, centery
CUL,3.3,224.9
CUR,315.9,223.2
SMA10,193.2,26.4
P16,6.5,174.0
P15,6.4,141.1
P14,58.2,141.0
P17,58.7,174.4
P9,86.5,81.1
P11,202.8,135.0
P5,139.5,230.3
P6,178.8,229.9
B1,308.9,44.3
